phase,config,compiler,opt,target_func,candidate_func,model,similarity
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,ssl3_write_bytes,jTrans,0.572207
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,ssl3_write_bytes,safe,0.769513
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,SSL_SESSION_get_time,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,SSL_SESSION_get_time,BinCola,-0.028121
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,SSL_SESSION_get_time,CLAP,0.039154
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,SSL_SESSION_get_time,jTrans,0.049651
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,SSL_SESSION_get_time,safe,0.137015
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,ssl_puts,asm2vec,-0.178829
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,ssl_puts,BinCola,0.032350
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,ssl_puts,CLAP,0.131411
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,ssl_puts,jTrans,0.461210
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,ssl_puts,safe,0.327823
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_17220,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_17220,BinCola,0.028575
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_17220,CLAP,0.015731
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_17220,jTrans,0.295517
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_17220,safe,0.140341
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16ab6,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16ab6,BinCola,0.000000
